country,2008
Afghanistan,88200
Albania,12
Algeria,3690
Angola,40500
Argentina,83
Armenia,18
Australia,5
Austria,1
Azerbaijan,691
Bahamas,1
Bahrain,1
Bangladesh,18400
Barbados,0
Belarus,5
Belgium,8
Belize,10
Benin,4970
Bhutan,161
Bolivia,2070
Bosnia and Herzegovina,6
Botswana,98
Brazil,3470
Brunei,1
Bulgaria,14
Burkina Faso,21700
Burundi,10300
Cambodia,2120
Cameroon,14100
Canada,1
Cape Verde,27
Central African Republic,4310
Chad,21000
Chile,6
China,10400
Colombia,739
Comoros,437
"Congo, Dem. Rep.",98100
"Congo, Rep.",2150
Costa Rica,10
Cote d'Ivoire,9910
Croatia,1
Cuba,10
Cyprus,0
Czech Republic,5
Denmark,1
Djibouti,404
Dominican Republic,657
Ecuador,388
Egypt,2150
El Salvador,82
Equatorial Guinea,304
Eritrea,2170
Estonia,0
Ethiopia,70900
Fiji,17
Finland,0
France,22
Gabon,166
Gambia,837
Georgia,85
Germany,7
Ghana,4870
Greece,0
Grenada,0
Guatemala,2940
Guinea,7200
Guinea-Bissau,2260
Guyana,118
Haiti,3800
Honduras,590
Hungary,2
Iceland,0
India,203000
Indonesia,25700
Iran,4360
Iraq,4610
Ireland,0
Israel,0
Italy,1
Jamaica,231
Japan,45
Jordan,119
Kazakhstan,208
Kenya,37900
Kuwait,2
Kyrgyz Republic,642
Lao,712
Latvia,2
Lebanon,21
Lesotho,408
Liberia,3350
Libya,89
Lithuania,0
Luxembourg,0
"Macedonia, FYR",9
Madagascar,15600
Malawi,5930
Malaysia,35
Maldives,13
Mali,18600
Malta,0
Mauritania,1840
Mauritius,5
Mexico,1950
"Micronesia, Fed. Sts.",5
Moldova,17
Mongolia,92
Montenegro,0
Morocco,2760
Mozambique,12400
Myanmar,14500
Namibia,148
Nepal,5070
Netherlands,0
New Zealand,1
Nicaragua,343
Niger,24200
Nigeria,192000
North Korea,2070
Norway,6
Oman,13
Pakistan,66800
Panama,91
Papua New Guinea,650
Paraguay,365
Peru,658
Philippines,4850
Poland,6
Portugal,0
Qatar,2
Romania,32
Russia,183
Rwanda,9040
Samoa,8
Sao Tome and Principe,70
Saudi Arabia,597
Senegal,7020
Serbia,3
Sierra Leone,8700
Singapore,0
Slovak Republic,1
Slovenia,0
Solomon Islands,21
Somalia,15600
South Africa,6190
South Korea,5
Spain,0
Sri Lanka,202
St. Lucia,0
St. Vincent and the Grenadines,1
Sudan,13900
Suriname,14
Swaziland,237
Sweden,3
Switzerland,0
Syria,449
Tajikistan,2250
Tanzania,19200
Thailand,266
Togo,2220
Tonga,4
Trinidad and Tobago,0
Tunisia,167
Turkey,389
Turkmenistan,665
Uganda,29700
Ukraine,45
United Arab Emirates,4
United Kingdom,4
United States,32
Uruguay,16
Uzbekistan,2490
Vanuatu,15
Venezuela,761
Vietnam,471
Yemen,11100
Zambia,10900
Zimbabwe,3160
